book_id_title,book_id,book_title,book_series,book_series_uri,isbn,isbn13,year_first_published,author,num_pages,genres,num_ratings,num_reviews,average_rating,rating_distribution
34723130,34723130,Slayer,Slayer #1,/series/203120-slayer,1471178994,9781471178993,,Kiersten White,404,"['Fantasy', 'Young Adult', 'Fantasy > Paranormal', 'Paranormal > Vampires', 'Fantasy > Urban Fantasy', 'Fiction', 'Fantasy > Supernatural', 'Young Adult > Young Adult Fantasy', 'Audiobook', 'Fantasy > Magic']",8364,2062,3.73,"{'5 Stars': 1800, '4 Stars': 3431, '3 Stars': 2353, '2 Stars': 620, '1 Star': 160}"
2828595,2828595,Chalice,,,0142417203,9780142417201,,Robin McKinley,265,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Fantasy > Magic', 'Fantasy > Fairy Tales', 'Young Adult > Young Adult Fantasy', 'Fantasy > High Fantasy', 'Science Fiction Fantasy', 'Young Adult > Teen']",14298,1558,3.82,"{'5 Stars': 4108, '4 Stars': 5068, '3 Stars': 3842, '2 Stars': 1019, '1 Star': 261}"
36683940,36683940,Unravel the Dusk,The Blood of Stars #2,/series/224554-the-blood-of-stars,3551584494,9783551584496,,Elizabeth Lim,355,"['Fantasy', 'Young Adult', 'Romance', 'Young Adult > Young Adult Fantasy', 'Retellings', 'Fiction', 'Fantasy > Magic', 'Fantasy > High Fantasy', 'Fantasy > Mythology', 'Adventure']",11268,2095,3.78,"{'5 Stars': 2704, '4 Stars': 4412, '3 Stars': 3258, '2 Stars': 766, '1 Star': 128}"
28390369,28390369,Swing Time,,,1594203989,9781594203985,,Zadie Smith,453,"['Fiction', 'Contemporary', 'Literary Fiction', 'Novels', 'Audiobook', 'Cultural > Africa', 'European Literature > British Literature', 'Race', 'Adult Fiction', 'Adult']",67313,5843,3.56,"{'5 Stars': 11351, '4 Stars': 25395, '3 Stars': 22076, '2 Stars': 6686, '1 Star': 1805}"
49246460,49246460,A Good Marriage,,,0062367692,9780062367693,,Kimberly McCreight,410,"['Thriller', 'Mystery', 'Fiction', 'Thriller > Mystery Thriller', 'Audiobook', 'Suspense', 'Adult', 'Contemporary', 'Mystery > Crime', 'Adult Fiction']",44615,4877,3.93,"{'5 Stars': 10441, '4 Stars': 22548, '3 Stars': 9881, '2 Stars': 1484, '1 Star': 261}"
20696006,20696006,Being Mortal: Medicine and What Matters in the End,,,1250076226,9781250076229,,Atul Gawande,282,"['Nonfiction', 'Health > Medicine', 'Science', 'Health', 'Medical', 'Philosophy', 'Audiobook', 'Death', 'Psychology', 'Autobiography > Memoir']",156116,17195,4.44,"{'5 Stars': 93554, '4 Stars': 45336, '3 Stars': 11919, '2 Stars': 3143, '1 Star': 2164}"
28763485,28763485,The Sun Is Also a Star,,,0552574244,9780552574242,,Nicola Yoon,384,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Young Adult > Young Adult Contemporary', 'Young Adult > Teen', 'Young Adult > Young Adult Romance', 'Family']",252232,27285,4.02,"{'5 Stars': 93666, '4 Stars': 92709, '3 Stars': 48520, '2 Stars': 12925, '1 Star': 4412}"
18584855,18584855,Heartless,,,1250148189,9781250148186,,Marissa Meyer,453,"['Fantasy', 'Young Adult', 'Retellings', 'Romance', 'Fiction', 'Young Adult > Young Adult Fantasy', 'Fantasy > Fairy Tales', 'Audiobook', 'Fantasy > Magic', 'Fairy Tales > Fairy Tale Retellings']",134617,21583,4.05,"{'5 Stars': 54240, '4 Stars': 46921, '3 Stars': 22912, '2 Stars': 7416, '1 Star': 3128}"
33230889,33230889,The Good Daughter,The Good Daughter #1,/series/204895-the-good-daughter,0062430246,9780062430243,,Karin Slaughter,656,"['Thriller', 'Mystery', 'Fiction', 'Thriller > Mystery Thriller', 'Mystery > Crime', 'Audiobook', 'Suspense', 'Adult', 'Contemporary', 'Thriller > Psychological Thriller']",139022,11264,4.1,"{'5 Stars': 52152, '4 Stars': 58027, '3 Stars': 21634, '2 Stars': 4855, '1 Star': 2354}"
127459,127459,The Sweet Far Thing,Gemma Doyle #3,/series/44586-gemma-doyle,0440237777,9780440237778,,Libba Bray,819,"['Fantasy', 'Young Adult', 'Historical > Historical Fiction', 'Historical', 'Fiction', 'Romance', 'Fantasy > Paranormal', 'Fantasy > Magic', 'Young Adult > Young Adult Fantasy', 'Young Adult > Teen']",71876,3898,3.95,"{'5 Stars': 27034, '4 Stars': 23309, '3 Stars': 14579, '2 Stars': 4821, '1 Star': 2133}"
54114950,54114950,Too Much and Never Enough: How My Family Created the World's Most Dangerous Man,,,1982141468,9781982141462,,Mary L. Trump,236,"['Nonfiction', 'Biography', 'Politics', 'Autobiography > Memoir', 'Audiobook', 'Psychology', 'History', 'Biography Memoir', 'Biography > Autobiography', 'Adult']",79553,11198,3.82,"{'5 Stars': 21600, '4 Stars': 30874, '3 Stars': 20109, '2 Stars': 4706, '1 Star': 2264}"
