id,rating,started_at,read_at,book.id.#text,book.isbn13.@nil,book.text_reviews_count.#text,book.num_pages,book.publication_year,book.average_rating,book.ratings_count,user_id,book.isbn13
76380824,4,,,22283,,1656,289,2000,3.91,117410,2899132,
76380787,4,,,29059,,5475,293,2002,3.70,200724,2899132,
76380721,5,Tue May 11 19:04:52 -0700 2010,Mon May 17 07:27:59 -0700 2010,5996153,,8385,503,2009,4.29,301776,2899132,
76380711,5,,,2802316,,9859,443,2008,4.32,352278,2899132,
76380709,5,Mon Apr 26 20:49:09 -0700 2010,Mon May 03 20:30:26 -0700 2010,2282133,true,9848,327,2008,4.25,338536,2899132,
76380708,4,,Wed Jun 10 00:00:00 -0700 2009,345627,,15088,332,2007,4.11,604677,2899132,
76380625,5,Mon Mar 01 00:00:00 -0800 2010,Thu Mar 04 00:00:00 -0800 2010,6114777,true,713,471,2009,4.06,429335,2899132,
76380371,5,,,84151,,1312,362,2004,4.32,53644,2899132,
76380370,4,,,626688,,114,361,2004,4.21,44153,2899132,
76380362,4,,,84136,,3011,337,2002,4.14,90478,2899132,
76380227,4,,,1611656,,1306,368,2008,4.28,49228,2899132,
76380217,5,,,435045,,1447,359,2007,4.33,53469,2899132,
76380213,4,,,14383,true,1514,356,2006,4.26,56054,2899132,
76380196,4,,,14384,,3180,360,2006,4.12,77350,2899132,
76380174,5,,,1151552,,273,372,2007,3.76,181641,2899132,
76380169,4,,,24768,,9286,370,2005,3.84,250258,2899132,
76380167,4,,,24770,,21854,425,2005,3.85,611709,2899132,
76380144,3,,,1162543,,46003,756,2008,3.71,1480714,2899132,
76380139,4,,,428263,,36671,629,2007,3.71,1587901,2899132,
76380137,4,,,49041,true,45987,563,2006,3.56,1653620,2899132,
76380133,4,,,41865,,104576,498,2006,3.62,5595118,2899132,
76380121,5,,Wed Nov 04 00:00:00 -0800 2009,1656001,,38314,624,2008,3.85,956480,2899132,
76380073,5,,,5604848,,2394,355,2009,4.31,83121,2899132,
76380060,4,,,2168860,,3276,357,2008,4.28,101189,2899132,
76380039,4,,,3570231,,2406,342,2008,4.28,87510,2899132,
76380029,5,,,1421990,,6632,358,2007,4.12,151581,2899132,
76380002,5,,,6148028,,90059,391,2009,4.30,2892581,2899132,
76379999,5,,,2767052,,162657,374,2008,4.32,7189669,2899132,
76379948,5,,,3777732,,24046,541,2009,4.29,881745,2899132,
76379937,5,,,1582996,,24709,453,2008,4.13,842984,2899132,
76379921,5,,,256683,,52602,485,2007,4.08,1796872,2899132,
76379903,5,,,3432478,,6377,310,2009,3.60,86229,2899132,
76379889,5,,,6068551,,20442,392,2009,3.76,465742,2899132,
76378881,1,,,5107,,52036,277,2001,3.81,3040196,2899132,
76378872,2,,,2657,true,78922,336,2006,4.27,5124055,2899132,
1888728507,4,Sun Jan 22 15:03:27 -0800 2017,Sun Jan 22 17:14:36 -0800 2017,18667769,,2528,279,2014,3.59,14650,15004522,9781595147226
1274345030,2,Thu May 07 12:48:10 -0700 2015,Sat Aug 01 14:37:04 -0700 2015,8893315,,51,255,2010,3.64,187787,15004522,
1249696114,0,,,17455817,,2467,378,2015,4.25,36380,15004522,9780373211142
1216201049,5,Mon Mar 02 08:36:05 -0800 2015,Tue Mar 10 10:05:21 -0700 2015,8709526,,5534,401,2013,4.33,101592,15004522,9781595143198
1216200452,5,Mon Mar 02 00:00:00 -0800 2015,Tue Mar 24 00:00:00 -0700 2015,17675462,,24092,409,2012,4.04,323137,15004522,9780545424929
1214333929,5,Sat Feb 28 00:00:00 -0800 2015,Mon Mar 02 00:00:00 -0800 2015,12751185,,145,418,2012,4.27,118759,15004522,
1212721822,4,,,16034964,,6010,189,2012,3.74,103052,15004522,9780988393509
1212598130,5,,,8709527,,7655,421,2011,4.18,183262,15004522,9781595143174
1209679139,5,Mon Feb 23 17:46:03 -0800 2015,Tue Feb 24 20:53:36 -0800 2015,11201920,,209,398,2011,4.18,183262,15004522,
1205604899,0,,,16070521,,3309,324,2012,3.91,61255,15004522,
1203942225,4,,,17314430,,7148,386,2013,4.16,148799,15004522,
1201022340,4,Sat Feb 14 22:53:40 -0800 2015,Sat Feb 14 23:51:41 -0800 2015,19407085,,107,448,2014,4.17,31170,15004522,
1200868191,0,Mon Feb 16 00:00:00 -0800 2015,Mon Feb 16 07:57:08 -0800 2015,21491442,,693,6,2014,4.25,9841,15004522,
1197661406,4,Wed Feb 11 08:16:17 -0800 2015,Thu Feb 12 13:54:48 -0800 2015,17558817,,2558,365,2014,4.13,45165,15004522,
1192151740,4,Thu Feb 05 19:08:50 -0800 2015,Sat Feb 07 06:53:30 -0800 2015,17449042,,389,386,2013,4.16,148799,15004522,
1190221453,5,Tue Feb 03 00:00:00 -0800 2015,Tue Feb 03 00:00:00 -0800 2015,22895264,,3200,376,2014,3.98,42399,15004522,
1186517607,5,Sat Jan 31 15:21:57 -0800 2015,Sat Jan 31 18:52:30 -0800 2015,18137830,,150,288,2012,3.74,103052,15004522,
1180952641,4,Mon Jan 26 06:49:38 -0800 2015,Wed Jan 28 21:59:37 -0800 2015,16045855,,1318,332,2012,3.95,23600,15004522,
1142773798,4,Fri Dec 26 21:29:21 -0800 2014,Fri Dec 26 21:29:33 -0800 2014,18593175,,5022,130,2013,4.21,67850,15004522,
1135289193,3,Thu Dec 18 00:00:00 -0800 2014,Tue Jan 20 00:00:00 -0800 2015,22670567,,13,,,3.89,100,15004522,
1105452364,5,Thu Nov 13 12:58:04 -0800 2014,Thu Dec 25 09:03:03 -0800 2014,133518,,13177,246,,4.13,277288,15004522,9780767902892
1100696407,5,Sat Nov 08 00:00:00 -0800 2014,Sun Nov 09 00:00:00 -0800 2014,17455815,,2968,464,2014,4.22,48150,15004522,
1095615303,5,Sun Nov 02 14:42:33 -0800 2014,Sun Nov 02 14:42:41 -0800 2014,13496084,,6709,230,2012,4.26,150488,15004522,
1091705233,5,Tue Oct 28 18:13:20 -0700 2014,Sun Nov 02 14:41:47 -0800 2014,17571797,,293,321,2013,4.32,110519,15004522,9781476746555
1081239277,5,Wed Oct 15 19:06:00 -0700 2014,Sat Oct 18 05:09:37 -0700 2014,17334411,,861,406,2013,4.27,316512,15004522,9781476743554
1073598592,5,Mon Oct 06 00:00:00 -0700 2014,Tue Oct 07 00:00:00 -0700 2014,18143950,,6640,367,2014,4.23,213271,15004522,9781476753164
